order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
1,2012-03-19 10:42:46.000,20,20,1,1,49.99,19.49
2,2012-03-19 19:27:37.000,104,104,1,1,49.99,19.49
3,2012-03-20 06:44:45.000,147,147,1,1,49.99,19.49
4,2012-03-20 09:41:45.000,160,160,1,1,49.99,19.49
5,2012-03-20 11:28:15.000,177,177,1,1,49.99,19.49
6,2012-03-20 16:12:47.000,232,232,1,1,49.99,19.49
7,2012-03-20 17:03:41.000,241,241,1,1,49.99,19.49
8,2012-03-20 23:35:27.000,295,295,1,1,49.99,19.49
9,2012-03-21 02:35:01.000,304,304,1,1,49.99,19.49
10,2012-03-21 06:45:58.000,317,317,1,1,49.99,19.49
11,2012-03-21 07:28:02.000,321,321,1,1,49.99,19.49
12,2012-03-21 08:21:33.000,327,327,1,1,49.99,19.49
13,2012-03-21 08:45:32.000,332,332,1,1,49.99,19.49
14,2012-03-21 09:12:05.000,336,336,1,1,49.99,19.49
15,2012-03-21 16:40:06.000,428,428,1,1,49.99,19.49
16,2012-03-21 17:13:05.000,434,434,1,1,49.99,19.49
17,2012-03-21 20:28:11.000,465,465,1,1,49.99,19.49
18,2012-03-22 06:15:33.000,507,507,1,1,49.99,19.49
19,2012-03-22 10:03:49.000,536,536,1,1,49.99,19.49
20,2012-03-22 17:49:57.000,615,615,1,1,49.99,19.49
21,2012-03-22 20:33:40.000,639,639,1,1,49.99,19.49
22,2012-03-23 12:09:46.000,732,732,1,1,49.99,19.49
23,2012-03-23 14:16:23.000,750,750,1,1,49.99,19.49
24,2012-03-23 17:14:48.000,783,783,1,1,49.99,19.49
25,2012-03-24 09:21:40.000,844,844,1,1,49.99,19.49
26,2012-03-25 08:32:41.000,908,908,1,1,49.99,19.49
27,2012-03-25 08:51:27.000,909,909,1,1,49.99,19.49
28,2012-03-25 16:00:12.000,940,940,1,1,49.99,19.49
29,2012-03-25 21:23:16.000,954,954,1,1,49.99,19.49
30,2012-03-26 10:03:39.000,1018,1016,1,1,49.99,19.49
31,2012-03-26 10:25:44.000,1023,1021,1,1,49.99,19.49
32,2012-03-26 14:13:56.000,1059,1055,1,1,49.99,19.49
33,2012-03-26 16:00:19.000,1081,1077,1,1,49.99,19.49
34,2012-03-26 17:55:25.000,1094,1090,1,1,49.99,19.49
35,2012-03-26 18:06:39.000,1098,1094,1,1,49.99,19.49
36,2012-03-26 18:54:41.000,1105,1101,1,1,49.99,19.49
37,2012-03-26 19:19:25.000,1107,1103,1,1,49.99,19.49
38,2012-03-26 21:13:07.000,1125,1121,1,1,49.99,19.49
39,2012-03-27 15:18:43.000,1243,1238,1,1,49.99,19.49
40,2012-03-27 16:53:30.000,1256,1251,1,1,49.99,19.49
41,2012-03-28 08:30:06.000,1330,1325,1,1,49.99,19.49
42,2012-03-28 09:56:58.000,1343,1337,1,1,49.99,19.49
43,2012-03-28 16:55:52.000,1419,1412,1,1,49.99,19.49
44,2012-03-28 21:24:10.000,1454,1447,1,1,49.99,19.49
45,2012-03-28 22:45:52.000,1463,1456,1,1,49.99,19.49
46,2012-03-29 16:11:05.000,1581,1574,1,1,49.99,19.49
47,2012-03-29 17:49:07.000,1605,1598,1,1,49.99,19.49
48,2012-03-29 23:09:30.000,1643,1635,1,1,49.99,19.49
49,2012-03-30 00:25:18.000,1646,1638,1,1,49.99,19.49
50,2012-03-30 02:27:35.000,1654,1646,1,1,49.99,19.49
51,2012-03-30 10:06:25.000,1685,1677,1,1,49.99,19.49
52,2012-03-30 10:24:06.000,1691,1683,1,1,49.99,19.49
53,2012-03-30 12:47:30.000,1709,1701,1,1,49.99,19.49
54,2012-03-30 14:26:49.000,1726,1718,1,1,49.99,19.49
55,2012-03-30 14:39:09.000,1729,1721,1,1,49.99,19.49
56,2012-03-31 00:22:18.000,1790,1782,1,1,49.99,19.49
57,2012-03-31 02:32:43.000,1802,1794,1,1,49.99,19.49
58,2012-03-31 06:40:10.000,1807,1799,1,1,49.99,19.49
59,2012-03-31 10:25:39.000,1823,1815,1,1,49.99,19.49
60,2012-03-31 19:24:33.000,1863,1855,1,1,49.99,19.49
61,2012-04-01 06:45:11.000,1890,1882,1,1,49.99,19.49
62,2012-04-01 12:38:27.000,1912,1902,1,1,49.99,19.49
63,2012-04-01 17:33:26.000,1939,1929,1,1,49.99,19.49
64,2012-04-01 18:26:19.000,1944,1934,1,1,49.99,19.49
65,2012-04-02 11:07:48.000,2036,2025,1,1,49.99,19.49
66,2012-04-02 16:32:15.000,2089,2076,1,1,49.99,19.49
67,2012-04-02 17:17:42.000,2102,2089,1,1,49.99,19.49
68,2012-04-02 18:36:27.000,2115,2102,1,1,49.99,19.49
69,2012-04-03 10:29:20.000,2210,2196,1,1,49.99,19.49
70,2012-04-03 11:53:36.000,2231,2217,1,1,49.99,19.49
71,2012-04-03 15:03:48.000,2262,2247,1,1,49.99,19.49
72,2012-04-03 16:31:50.000,2291,2276,1,1,49.99,19.49
73,2012-04-03 16:36:02.000,2295,1752,1,1,49.99,19.49
74,2012-04-03 19:09:43.000,2325,2309,1,1,49.99,19.49
75,2012-04-04 07:47:38.000,2392,2376,1,1,49.99,19.49
76,2012-04-04 11:13:55.000,2422,2405,1,1,49.99,19.49
77,2012-04-04 11:34:52.000,2431,2414,1,1,49.99,19.49
78,2012-04-04 18:21:44.000,2514,2495,1,1,49.99,19.49
79,2012-04-04 19:00:06.000,2522,2503,1,1,49.99,19.49
80,2012-04-05 10:34:00.000,2624,383,1,1,49.99,19.49
81,2012-04-05 13:15:34.000,2668,2644,1,1,49.99,19.49
82,2012-04-05 20:11:27.000,2770,2746,1,1,49.99,19.49
83,2012-04-06 04:04:23.000,2810,2786,1,1,49.99,19.49
84,2012-04-06 12:16:39.000,2879,2854,1,1,49.99,19.49
85,2012-04-06 17:13:09.000,2942,2916,1,1,49.99,19.49
86,2012-04-06 22:48:48.000,2982,2956,1,1,49.99,19.49
87,2012-04-07 04:47:20.000,3000,2972,1,1,49.99,19.49
88,2012-04-07 16:15:03.000,3040,3012,1,1,49.99,19.49
89,2012-04-07 16:55:38.000,3044,3016,1,1,49.99,19.49
90,2012-04-08 02:25:16.000,3077,3048,1,1,49.99,19.49
91,2012-04-08 05:52:53.000,3082,3053,1,1,49.99,19.49
92,2012-04-08 20:50:48.000,3137,3107,1,1,49.99,19.49
93,2012-04-08 21:10:18.000,3139,3109,1,1,49.99,19.49
94,2012-04-08 22:33:08.000,3147,3116,1,1,49.99,19.49
95,2012-04-09 09:49:50.000,3189,3158,1,1,49.99,19.49
96,2012-04-09 09:50:14.000,3188,3157,1,1,49.99,19.49
97,2012-04-09 11:25:30.000,3208,3177,1,1,49.99,19.49
98,2012-04-09 15:01:23.000,3247,3215,1,1,49.99,19.49
99,2012-04-09 19:48:47.000,3295,3263,1,1,49.99,19.49
100,2012-04-09 20:28:57.000,3299,3267,1,1,49.99,19.49
101,2012-04-09 22:56:37.000,3318,3285,1,1,49.99,19.49
102,2012-04-09 23:25:30.000,3322,3289,1,1,49.99,19.49
103,2012-04-10 14:21:17.000,3421,3386,1,1,49.99,19.49
104,2012-04-10 16:40:18.000,3446,3411,1,1,49.99,19.49
105,2012-04-10 22:27:09.000,3496,3460,1,1,49.99,19.49
106,2012-04-11 14:13:17.000,3604,3565,1,1,49.99,19.49
107,2012-04-11 15:22:47.000,3618,3579,1,1,49.99,19.49
108,2012-04-11 16:38:56.000,3642,3602,1,1,49.99,19.49
109,2012-04-11 20:19:28.000,3683,3642,1,1,49.99,19.49
110,2012-04-11 21:59:27.000,3689,3648,1,1,49.99,19.49
111,2012-04-12 10:03:06.000,3746,3703,1,1,49.99,19.49
112,2012-04-12 10:51:25.000,3765,3722,1,1,49.99,19.49
113,2012-04-12 13:30:14.000,3789,811,1,1,49.99,19.49
114,2012-04-12 15:50:47.000,3807,3761,1,1,49.99,19.49
115,2012-04-13 02:13:16.000,3873,3824,1,1,49.99,19.49
116,2012-04-13 14:53:49.000,3947,3895,1,1,49.99,19.49
117,2012-04-14 23:26:48.000,4100,4047,1,1,49.99,19.49
118,2012-04-15 09:00:37.000,4119,4065,1,1,49.99,19.49
119,2012-04-15 13:20:39.000,4130,4076,1,1,49.99,19.49
120,2012-04-15 15:10:58.000,4136,4082,1,1,49.99,19.49
121,2012-04-15 16:36:31.000,4140,4086,1,1,49.99,19.49
122,2012-04-16 13:22:52.000,4224,3313,1,1,49.99,19.49
123,2012-04-16 14:54:24.000,4232,4174,1,1,49.99,19.49
124,2012-04-16 15:03:23.000,4235,4177,1,1,49.99,19.49
125,2012-04-16 17:59:57.000,4249,4191,1,1,49.99,19.49
126,2012-04-16 19:33:33.000,4258,167,1,1,49.99,19.49
127,2012-04-17 19:20:42.000,4372,455,1,1,49.99,19.49
128,2012-04-18 10:28:38.000,4420,4346,1,1,49.99,19.49
129,2012-04-18 12:10:33.000,4437,4362,1,1,49.99,19.49
130,2012-04-18 18:51:07.000,4490,755,1,1,49.99,19.49
131,2012-04-18 19:59:44.000,4501,4423,1,1,49.99,19.49
132,2012-04-19 07:42:08.000,4531,59,1,1,49.99,19.49
133,2012-04-19 13:21:03.000,4559,4474,1,1,49.99,19.49
134,2012-04-19 14:19:40.000,4566,4480,1,1,49.99,19.49
135,2012-04-19 14:20:15.000,4567,4481,1,1,49.99,19.49
136,2012-04-19 19:02:48.000,4605,4519,1,1,49.99,19.49
137,2012-04-19 21:50:45.000,4620,4533,1,1,49.99,19.49
138,2012-04-20 14:02:15.000,4685,4590,1,1,49.99,19.49
139,2012-04-21 17:39:59.000,4770,4674,1,1,49.99,19.49
140,2012-04-22 11:01:02.000,4801,4704,1,1,49.99,19.49
141,2012-04-22 16:58:22.000,4815,4718,1,1,49.99,19.49
142,2012-04-22 21:22:31.000,4828,4728,1,1,49.99,19.49
143,2012-04-23 11:07:52.000,4878,4774,1,1,49.99,19.49
144,2012-04-23 11:27:53.000,4881,4777,1,1,49.99,19.49
145,2012-04-23 12:31:17.000,4889,4785,1,1,49.99,19.49
146,2012-04-23 17:12:15.000,4923,2368,1,1,49.99,19.49
147,2012-04-23 20:59:07.000,4943,4832,1,1,49.99,19.49
148,2012-04-23 22:39:58.000,4951,4840,1,1,49.99,19.49
149,2012-04-23 22:57:17.000,4952,3291,1,1,49.99,19.49
150,2012-04-24 19:22:17.000,5054,4933,1,1,49.99,19.49
151,2012-04-24 23:13:26.000,5065,210,1,1,49.99,19.49
152,2012-04-25 21:05:32.000,5151,13,1,1,49.99,19.49
153,2012-04-26 15:35:59.000,5252,5116,1,1,49.99,19.49
154,2012-04-26 17:43:19.000,5270,5134,1,1,49.99,19.49
155,2012-04-26 22:22:55.000,5292,5154,1,1,49.99,19.49
156,2012-04-27 01:22:32.000,5297,5158,1,1,49.99,19.49
157,2012-04-27 19:42:18.000,5386,5243,1,1,49.99,19.49
158,2012-04-29 16:58:56.000,5458,5312,1,1,49.99,19.49
159,2012-04-30 12:14:59.000,5538,5387,1,1,49.99,19.49
160,2012-05-01 03:50:09.000,5619,5461,1,1,49.99,19.49
161,2012-05-01 10:34:08.000,5650,5488,1,1,49.99,19.49
162,2012-05-01 11:20:19.000,5654,876,1,1,49.99,19.49
163,2012-05-01 12:10:41.000,5663,4038,1,1,49.99,19.49
164,2012-05-01 16:25:31.000,5705,5539,1,1,49.99,19.49
165,2012-05-02 11:50:21.000,5820,5640,1,1,49.99,19.49
166,2012-05-02 12:56:44.000,5830,5649,1,1,49.99,19.49
167,2012-05-02 17:15:10.000,5870,5688,1,1,49.99,19.49
168,2012-05-02 17:24:00.000,5873,5691,1,1,49.99,19.49
169,2012-05-03 09:03:53.000,5925,3057,1,1,49.99,19.49
170,2012-05-03 09:40:22.000,5927,2617,1,1,49.99,19.49
171,2012-05-03 15:19:38.000,5976,5788,1,1,49.99,19.49
172,2012-05-03 16:24:32.000,5987,5797,1,1,49.99,19.49
173,2012-05-03 23:52:58.000,6017,5824,1,1,49.99,19.49
174,2012-05-04 05:22:36.000,6036,5840,1,1,49.99,19.49
175,2012-05-04 10:24:35.000,6056,5858,1,1,49.99,19.49
176,2012-05-04 16:56:05.000,6123,5918,1,1,49.99,19.49
177,2012-05-08 15:59:05.000,6481,6237,1,1,49.99,19.49
178,2012-05-08 16:18:21.000,6487,6242,1,1,49.99,19.49
179,2012-05-09 01:00:09.000,6536,6288,1,1,49.99,19.49
180,2012-05-09 01:40:07.000,6539,6291,1,1,49.99,19.49
181,2012-05-09 09:04:41.000,6562,6313,1,1,49.99,19.49
182,2012-05-09 10:16:50.000,6571,6322,1,1,49.99,19.49
183,2012-05-09 13:36:25.000,6603,6352,1,1,49.99,19.49
184,2012-05-09 14:59:36.000,6614,2020,1,1,49.99,19.49
185,2012-05-09 17:01:21.000,6629,6374,1,1,49.99,19.49
186,2012-05-09 17:41:14.000,6637,6381,1,1,49.99,19.49
187,2012-05-10 09:54:16.000,6692,6433,1,1,49.99,19.49
188,2012-05-10 18:45:17.000,6765,6500,1,1,49.99,19.49
189,2012-05-10 21:29:58.000,6781,6515,1,1,49.99,19.49
190,2012-05-11 11:10:14.000,6836,6565,1,1,49.99,19.49
191,2012-05-11 15:06:01.000,6889,5115,1,1,49.99,19.49
192,2012-05-11 21:20:08.000,6927,6648,1,1,49.99,19.49
193,2012-05-12 20:44:15.000,6993,6711,1,1,49.99,19.49
194,2012-05-13 08:21:23.000,7018,6732,1,1,49.99,19.49
195,2012-05-13 15:56:25.000,7035,6747,1,1,49.99,19.49
196,2012-05-13 17:04:33.000,7042,6754,1,1,49.99,19.49
197,2012-05-14 18:33:40.000,7140,3659,1,1,49.99,19.49
198,2012-05-14 18:51:18.000,7144,6841,1,1,49.99,19.49
199,2012-05-15 03:20:44.000,7175,6869,1,1,49.99,19.49
200,2012-05-15 05:20:02.000,7178,3123,1,1,49.99,19.49
201,2012-05-15 05:28:05.000,7179,6872,1,1,49.99,19.49
